Training started at 2026-04-01 21:50:38.775328
================================================================================
Episode 1: Reward=-98516.75, Cost=98516745.03, Length=1000
Episode 2: Reward=-92215.73, Cost=92215727.01, Length=1000
Episode 3: Reward=-63354.96, Cost=63354957.48, Length=1000
Episode 4: Reward=-58729.03, Cost=58729034.77, Length=1000
Episode 5: Reward=-60111.04, Cost=60111042.35, Length=1000
Episode 6: Reward=-52342.17, Cost=52342173.54, Length=1000
Episode 7: Reward=-55931.90, Cost=55931897.67, Length=1000
Episode 8: Reward=-69398.39, Cost=69398389.68, Length=1000
Episode 9: Reward=-54605.70, Cost=54605704.43, Length=1000
Episode 10: Reward=-54437.64, Cost=54437641.42, Length=1000
Episode 11: Reward=-97879.25, Cost=97879249.91, Length=1000
Episode 12: Reward=-73447.79, Cost=73447793.15, Length=1000
Episode 13: Reward=-69304.35, Cost=69304353.72, Length=1000
Episode 14: Reward=-53735.06, Cost=53735063.82, Length=1000
Episode 15: Reward=-51474.18, Cost=51474176.11, Length=1000
Episode 16: Reward=-70141.74, Cost=70141739.65, Length=1000
Episode 17: Reward=-52796.08, Cost=52796079.10, Length=1000
Episode 18: Reward=-53925.93, Cost=53925928.60, Length=1000
Episode 19: Reward=-59835.80, Cost=59835802.00, Length=1000
Episode 20: Reward=-48537.64, Cost=48537641.91, Length=1000
Episode 21: Reward=-76828.61, Cost=76828614.54, Length=1000
Episode 22: Reward=-48369.35, Cost=48369354.82, Length=1000
Episode 23: Reward=-99894.37, Cost=99894374.92, Length=1000
Episode 24: Reward=-63710.09, Cost=63710093.15, Length=1000
Episode 25: Reward=-98075.52, Cost=98075520.43, Length=1000
Episode 26: Reward=-60103.03, Cost=60103031.06, Length=1000
Episode 27: Reward=-77106.16, Cost=77106159.20, Length=1000
Episode 28: Reward=-65702.76, Cost=65702759.84, Length=1000
Episode 29: Reward=-48234.94, Cost=48234936.73, Length=1000
Episode 30: Reward=-64030.28, Cost=64030284.12, Length=1000
Episode 31: Reward=-71105.99, Cost=71105989.18, Length=1000
Episode 32: Reward=-46588.99, Cost=46588994.90, Length=1000
Episode 33: Reward=-53636.99, Cost=53636991.94, Length=1000
Episode 34: Reward=-70113.28, Cost=70113282.88, Length=1000
Episode 35: Reward=-51927.96, Cost=51927956.64, Length=1000
Episode 36: Reward=-62611.19, Cost=62611189.58, Length=1000
Episode 37: Reward=-52688.09, Cost=52688087.23, Length=1000
Episode 38: Reward=-53367.19, Cost=53367189.65, Length=1000
Episode 39: Reward=-49323.46, Cost=49323462.84, Length=1000
Episode 40: Reward=-48935.68, Cost=48935683.61, Length=1000
Episode 41: Reward=-59111.17, Cost=59111173.19, Length=1000
Episode 42: Reward=-48645.73, Cost=48645727.79, Length=1000
Episode 43: Reward=-48119.82, Cost=48119824.81, Length=1000
Episode 44: Reward=-51390.60, Cost=51390604.18, Length=1000
Episode 45: Reward=-88948.86, Cost=88948855.50, Length=1000
Episode 46: Reward=-86569.99, Cost=86569985.59, Length=1000
Episode 47: Reward=-55056.44, Cost=55056435.58, Length=1000
Episode 48: Reward=-75530.55, Cost=75530548.80, Length=1000
Episode 49: Reward=-58026.74, Cost=58026744.87, Length=1000
Episode 50: Reward=-42045.03, Cost=42045033.03, Length=1000
Episode 51: Reward=-84904.32, Cost=84904323.25, Length=1000
Episode 52: Reward=-57535.25, Cost=57535245.66, Length=1000
Episode 53: Reward=-46762.42, Cost=46762420.02, Length=1000
Episode 54: Reward=-106093.77, Cost=106093770.27, Length=1000
Episode 55: Reward=-55436.31, Cost=55436306.66, Length=1000
Episode 56: Reward=-59811.47, Cost=59811465.39, Length=1000
Episode 57: Reward=-50081.42, Cost=50081424.70, Length=1000
Episode 58: Reward=-56694.07, Cost=56694070.27, Length=1000
Episode 59: Reward=-64460.14, Cost=64460137.26, Length=1000
Episode 60: Reward=-97047.52, Cost=97047521.50, Length=1000
Episode 61: Reward=-52771.71, Cost=52771708.75, Length=1000
Episode 62: Reward=-62971.34, Cost=62971336.78, Length=1000
Episode 63: Reward=-99357.75, Cost=99357751.43, Length=1000
Episode 64: Reward=-64218.77, Cost=64218768.72, Length=1000
Episode 65: Reward=-86428.83, Cost=86428829.74, Length=1000
Episode 66: Reward=-55123.74, Cost=55123738.83, Length=1000
Episode 67: Reward=-62946.56, Cost=62946561.42, Length=1000
Episode 68: Reward=-47654.45, Cost=47654451.96, Length=1000
Episode 69: Reward=-70522.43, Cost=70522425.36, Length=1000
Episode 70: Reward=-45893.13, Cost=45893129.49, Length=1000
Episode 71: Reward=-53217.29, Cost=53217285.67, Length=1000
Episode 72: Reward=-55312.66, Cost=55312659.48, Length=1000
Episode 73: Reward=-64567.75, Cost=64567749.03, Length=1000
Episode 74: Reward=-94278.42, Cost=94278421.43, Length=1000
Episode 75: Reward=-71129.01, Cost=71129012.71, Length=1000
Episode 76: Reward=-46232.90, Cost=46232899.66, Length=1000
Episode 77: Reward=-48204.75, Cost=48204751.49, Length=1000
Episode 78: Reward=-51323.43, Cost=51323432.59, Length=1000
Episode 79: Reward=-61787.47, Cost=61787471.82, Length=1000
Episode 80: Reward=-50771.50, Cost=50771495.36, Length=1000
Episode 81: Reward=-58418.20, Cost=58418204.06, Length=1000
Episode 82: Reward=-79738.87, Cost=79738866.38, Length=1000
