Training started at 2026-04-01 10:08:07.631039
================================================================================
Episode 97: Reward=-105876371.04, Cost=105876371.04, Length=1000
Episode 98: Reward=-104746943.63, Cost=104746943.63, Length=1000
Episode 99: Reward=-105174184.25, Cost=105174184.25, Length=1000
Episode 100: Reward=-107360357.41, Cost=107360357.41, Length=1000
Episode 101: Reward=-102003060.54, Cost=102003060.54, Length=1000
Episode 102: Reward=-104570594.65, Cost=104570594.65, Length=1000
Episode 103: Reward=-55722426.18, Cost=55722426.18, Length=1000
Episode 104: Reward=-56502942.80, Cost=56502942.80, Length=1000
Episode 105: Reward=-47269281.14, Cost=47269281.14, Length=1000
Episode 106: Reward=-51957219.14, Cost=51957219.14, Length=1000
Episode 107: Reward=-100280826.35, Cost=100280826.35, Length=1000
Episode 108: Reward=-48954465.83, Cost=48954465.83, Length=1000
Episode 109: Reward=-51300530.10, Cost=51300530.10, Length=1000
Episode 110: Reward=-49098071.07, Cost=49098071.07, Length=1000
Episode 111: Reward=-52210737.88, Cost=52210737.88, Length=1000
Episode 112: Reward=-66290820.98, Cost=66290820.98, Length=1000
Episode 113: Reward=-47902152.85, Cost=47902152.85, Length=1000
Episode 114: Reward=-62031932.08, Cost=62031932.08, Length=1000
Episode 115: Reward=-56688485.50, Cost=56688485.50, Length=1000
Episode 116: Reward=-61889002.56, Cost=61889002.56, Length=1000
Episode 117: Reward=-60180654.40, Cost=60180654.40, Length=1000
Episode 118: Reward=-60689221.78, Cost=60689221.78, Length=1000
Episode 119: Reward=-49951694.20, Cost=49951694.20, Length=1000
Episode 120: Reward=-49964130.57, Cost=49964130.57, Length=1000
Episode 121: Reward=-47030508.35, Cost=47030508.35, Length=1000
Episode 122: Reward=-55895648.87, Cost=55895648.87, Length=1000
Episode 123: Reward=-49526151.61, Cost=49526151.61, Length=1000
Episode 124: Reward=-51914390.00, Cost=51914390.00, Length=1000
Episode 125: Reward=-63132392.26, Cost=63132392.26, Length=1000
Episode 126: Reward=-53525533.44, Cost=53525533.44, Length=1000
Episode 127: Reward=-53328670.76, Cost=53328670.76, Length=1000
Episode 128: Reward=-60578286.48, Cost=60578286.48, Length=1000
Episode 129: Reward=-54187550.89, Cost=54187550.89, Length=1000
Episode 130: Reward=-49515482.31, Cost=49515482.31, Length=1000
Episode 131: Reward=-58053976.43, Cost=58053976.43, Length=1000
Episode 132: Reward=-60009901.21, Cost=60009901.21, Length=1000
Episode 133: Reward=-63140033.06, Cost=63140033.06, Length=1000
Episode 134: Reward=-99976175.71, Cost=99976175.71, Length=1000
Episode 135: Reward=-55328231.22, Cost=55328231.22, Length=1000
Episode 136: Reward=-61255392.69, Cost=61255392.69, Length=1000
Episode 137: Reward=-103295154.25, Cost=103295154.25, Length=1000
Episode 138: Reward=-65367774.39, Cost=65367774.39, Length=1000
Episode 139: Reward=-52144066.81, Cost=52144066.81, Length=1000
Episode 140: Reward=-52096661.09, Cost=52096661.09, Length=1000
Episode 141: Reward=-50876731.91, Cost=50876731.91, Length=1000
Episode 142: Reward=-51651702.26, Cost=51651702.26, Length=1000
Episode 143: Reward=-53448354.15, Cost=53448354.15, Length=1000
Episode 144: Reward=-48713039.40, Cost=48713039.40, Length=1000
Episode 145: Reward=-100023240.70, Cost=100023240.70, Length=1000
Episode 146: Reward=-68842077.95, Cost=68842077.95, Length=1000
Episode 147: Reward=-67485759.60, Cost=67485759.60, Length=1000
Episode 148: Reward=-53007044.33, Cost=53007044.33, Length=1000
Episode 149: Reward=-55701904.89, Cost=55701904.89, Length=1000
Episode 150: Reward=-57477419.83, Cost=57477419.83, Length=1000
Episode 151: Reward=-50654548.83, Cost=50654548.83, Length=1000
Episode 152: Reward=-106019372.25, Cost=106019372.25, Length=1000
Episode 153: Reward=-52358937.24, Cost=52358937.24, Length=1000
Episode 154: Reward=-49113678.10, Cost=49113678.10, Length=1000
Episode 155: Reward=-53338369.01, Cost=53338369.01, Length=1000
Episode 156: Reward=-103777432.26, Cost=103777432.26, Length=1000
Episode 157: Reward=-59506439.11, Cost=59506439.11, Length=1000
Episode 158: Reward=-57263659.44, Cost=57263659.44, Length=1000
Episode 159: Reward=-59805460.73, Cost=59805460.73, Length=1000
Episode 160: Reward=-104209336.97, Cost=104209336.97, Length=1000
Episode 161: Reward=-105192969.02, Cost=105192969.02, Length=1000
Episode 162: Reward=-106394826.79, Cost=106394826.79, Length=1000
Episode 163: Reward=-56515796.51, Cost=56515796.51, Length=1000
Episode 164: Reward=-51236396.73, Cost=51236396.73, Length=1000
Episode 165: Reward=-60732042.33, Cost=60732042.33, Length=1000
Episode 166: Reward=-61435243.45, Cost=61435243.45, Length=1000
Episode 167: Reward=-53714380.90, Cost=53714380.90, Length=1000
Episode 168: Reward=-68274430.87, Cost=68274430.87, Length=1000
Episode 169: Reward=-63494546.36, Cost=63494546.36, Length=1000
Episode 170: Reward=-106825718.95, Cost=106825718.95, Length=1000
Episode 171: Reward=-70018370.05, Cost=70018370.05, Length=1000
Episode 172: Reward=-59572814.56, Cost=59572814.56, Length=1000
Episode 173: Reward=-53883733.51, Cost=53883733.51, Length=1000
Episode 174: Reward=-55398913.92, Cost=55398913.92, Length=1000
Episode 175: Reward=-53015140.74, Cost=53015140.74, Length=1000
Episode 176: Reward=-56753257.44, Cost=56753257.44, Length=1000
Episode 177: Reward=-49840711.96, Cost=49840711.96, Length=1000
Episode 178: Reward=-54423215.13, Cost=54423215.13, Length=1000
Episode 179: Reward=-58952544.72, Cost=58952544.72, Length=1000
Episode 180: Reward=-69201248.41, Cost=69201248.41, Length=1000
Episode 181: Reward=-55197639.60, Cost=55197639.60, Length=1000
Episode 182: Reward=-53018952.74, Cost=53018952.74, Length=1000
Episode 183: Reward=-48779867.80, Cost=48779867.80, Length=1000
Episode 184: Reward=-59602090.25, Cost=59602090.25, Length=1000
Episode 185: Reward=-65009315.64, Cost=65009315.64, Length=1000
Episode 186: Reward=-52107618.86, Cost=52107618.86, Length=1000
Episode 187: Reward=-53736121.14, Cost=53736121.14, Length=1000
Episode 188: Reward=-51904522.06, Cost=51904522.06, Length=1000
Episode 189: Reward=-57191063.07, Cost=57191063.07, Length=1000
Episode 190: Reward=-103193811.87, Cost=103193811.87, Length=1000
Episode 191: Reward=-102722356.37, Cost=102722356.37, Length=1000
Episode 192: Reward=-102497370.22, Cost=102497370.22, Length=1000
Episode 193: Reward=-106235599.25, Cost=106235599.25, Length=1000
Episode 194: Reward=-105778034.82, Cost=105778034.82, Length=1000
Episode 195: Reward=-107826717.62, Cost=107826717.62, Length=1000
Episode 196: Reward=-104103633.86, Cost=104103633.86, Length=1000
Episode 197: Reward=-107968342.87, Cost=107968342.87, Length=1000
Episode 198: Reward=-107080466.21, Cost=107080466.21, Length=1000
Episode 199: Reward=-106996980.15, Cost=106996980.15, Length=1000
Episode 200: Reward=-107270992.75, Cost=107270992.75, Length=1000
Episode 201: Reward=-105777506.39, Cost=105777506.39, Length=1000
Episode 202: Reward=-109643133.11, Cost=109643133.11, Length=1000
Episode 203: Reward=-108620339.45, Cost=108620339.45, Length=1000
Episode 204: Reward=-103898536.85, Cost=103898536.85, Length=1000
Episode 205: Reward=-55382933.03, Cost=55382933.03, Length=1000
Episode 206: Reward=-46174545.48, Cost=46174545.48, Length=1000
Episode 207: Reward=-57707198.25, Cost=57707198.25, Length=1000
Episode 208: Reward=-56940775.27, Cost=56940775.27, Length=1000
Episode 209: Reward=-68204089.33, Cost=68204089.33, Length=1000
Episode 210: Reward=-51664127.66, Cost=51664127.66, Length=1000
Episode 211: Reward=-57836979.13, Cost=57836979.13, Length=1000
Episode 212: Reward=-71309870.29, Cost=71309870.29, Length=1000
Episode 213: Reward=-62093744.75, Cost=62093744.75, Length=1000
Episode 214: Reward=-58381484.28, Cost=58381484.28, Length=1000
Episode 215: Reward=-63283082.23, Cost=63283082.23, Length=1000
Episode 216: Reward=-57859493.82, Cost=57859493.82, Length=1000
Episode 217: Reward=-71093823.60, Cost=71093823.60, Length=1000
Episode 218: Reward=-51182370.72, Cost=51182370.72, Length=1000
Episode 219: Reward=-60953085.61, Cost=60953085.61, Length=1000
Episode 220: Reward=-47670871.48, Cost=47670871.48, Length=1000
Episode 221: Reward=-59683124.58, Cost=59683124.58, Length=1000
Episode 222: Reward=-111163479.71, Cost=111163479.71, Length=1000
Episode 223: Reward=-108507582.44, Cost=108507582.44, Length=1000
Episode 224: Reward=-108649586.35, Cost=108649586.35, Length=1000
Episode 225: Reward=-106572217.39, Cost=106572217.39, Length=1000
Episode 226: Reward=-54919253.31, Cost=54919253.31, Length=1000
Episode 227: Reward=-48234547.93, Cost=48234547.93, Length=1000
Episode 228: Reward=-56539183.00, Cost=56539183.00, Length=1000
Episode 229: Reward=-49965153.03, Cost=49965153.03, Length=1000
Episode 230: Reward=-58405208.34, Cost=58405208.34, Length=1000
Episode 231: Reward=-50335161.28, Cost=50335161.28, Length=1000
Episode 232: Reward=-51847824.39, Cost=51847824.39, Length=1000
Episode 233: Reward=-109738754.09, Cost=109738754.09, Length=1000
Episode 234: Reward=-106710126.56, Cost=106710126.56, Length=1000
Episode 235: Reward=-57914778.74, Cost=57914778.74, Length=1000
Episode 236: Reward=-103917122.32, Cost=103917122.32, Length=1000
Episode 237: Reward=-62202483.07, Cost=62202483.07, Length=1000
Episode 238: Reward=-55161593.79, Cost=55161593.79, Length=1000
