Training started at 2026-04-08 23:46:44.493567
================================================================================
Episode 106: Reward=-265.68, Cost=2656807.54, Length=500
Episode 107: Reward=-267.16, Cost=2671601.96, Length=500
Episode 108: Reward=-378.49, Cost=3784922.64, Length=500
Episode 109: Reward=-382.49, Cost=3824922.37, Length=500
Episode 110: Reward=-264.70, Cost=2646965.40, Length=500
Episode 111: Reward=-390.60, Cost=3906007.81, Length=500
Episode 112: Reward=-373.95, Cost=3739528.73, Length=500
Episode 113: Reward=-384.93, Cost=3849311.41, Length=500
Episode 114: Reward=-385.17, Cost=3851670.65, Length=500
Episode 115: Reward=-384.86, Cost=3848603.84, Length=500
Episode 116: Reward=-371.98, Cost=3719833.16, Length=500
Episode 117: Reward=-264.16, Cost=2641609.32, Length=500
Episode 118: Reward=-378.55, Cost=3785509.49, Length=500
Episode 119: Reward=-384.68, Cost=3846836.42, Length=500
Episode 120: Reward=-266.09, Cost=2660859.14, Length=500
Episode 121: Reward=-265.48, Cost=2654787.75, Length=500
Episode 122: Reward=-381.93, Cost=3819292.57, Length=500
Episode 123: Reward=-268.89, Cost=2688916.97, Length=500
Episode 124: Reward=-380.29, Cost=3802915.31, Length=500
Episode 125: Reward=-266.20, Cost=2661976.99, Length=500
Episode 126: Reward=-260.65, Cost=2606461.72, Length=500
Episode 127: Reward=-262.93, Cost=2629293.73, Length=500
Episode 128: Reward=-347.10, Cost=3470994.84, Length=500
Episode 129: Reward=-366.46, Cost=3664608.23, Length=500
Episode 130: Reward=-266.99, Cost=2669935.53, Length=500
Episode 131: Reward=-376.78, Cost=3767802.86, Length=500
Episode 132: Reward=-348.14, Cost=3481395.35, Length=500
Episode 133: Reward=-378.59, Cost=3785879.25, Length=500
Episode 134: Reward=-263.04, Cost=2630424.05, Length=500
Episode 135: Reward=-265.48, Cost=2654787.91, Length=500
Episode 136: Reward=-268.88, Cost=2688799.67, Length=500
Episode 137: Reward=-265.80, Cost=2657981.63, Length=500
Episode 138: Reward=-264.56, Cost=2645606.46, Length=500
Episode 139: Reward=-373.48, Cost=3734793.28, Length=500
Episode 140: Reward=-260.64, Cost=2606364.13, Length=500
Episode 141: Reward=-363.39, Cost=3633924.99, Length=500
Episode 142: Reward=-304.86, Cost=3048643.69, Length=500
Episode 143: Reward=-270.76, Cost=2707609.14, Length=500
Episode 144: Reward=-281.67, Cost=2816719.71, Length=500
Episode 145: Reward=-308.47, Cost=3084658.87, Length=500
Episode 146: Reward=-261.16, Cost=2611616.79, Length=500
Episode 147: Reward=-265.63, Cost=2656287.19, Length=500
Episode 148: Reward=-296.24, Cost=2962375.03, Length=500
Episode 149: Reward=-264.72, Cost=2647163.33, Length=500
Episode 150: Reward=-266.32, Cost=2663231.25, Length=500
Episode 151: Reward=-269.24, Cost=2692398.78, Length=500
Episode 152: Reward=-268.12, Cost=2681238.12, Length=500
Episode 153: Reward=-270.03, Cost=2700328.28, Length=500
Episode 154: Reward=-271.74, Cost=2717426.38, Length=500
Episode 155: Reward=-268.10, Cost=2680969.68, Length=500
Episode 156: Reward=-267.86, Cost=2678624.87, Length=500
Episode 157: Reward=-268.08, Cost=2680827.67, Length=500
Episode 158: Reward=-329.02, Cost=3290150.43, Length=500
Episode 159: Reward=-365.24, Cost=3652438.06, Length=500
Episode 160: Reward=-286.87, Cost=2868671.51, Length=500
Episode 161: Reward=-299.44, Cost=2994380.32, Length=500
Episode 162: Reward=-360.54, Cost=3605370.30, Length=500
Episode 163: Reward=-364.56, Cost=3645642.31, Length=500
Episode 164: Reward=-325.88, Cost=3258783.03, Length=500
Episode 165: Reward=-320.56, Cost=3205602.54, Length=500
Episode 166: Reward=-268.49, Cost=2684893.55, Length=500
Episode 167: Reward=-267.54, Cost=2675419.33, Length=500
Episode 168: Reward=-269.65, Cost=2696468.63, Length=500
Episode 169: Reward=-268.75, Cost=2687479.79, Length=500
Episode 170: Reward=-270.57, Cost=2705674.22, Length=500
Episode 171: Reward=-269.35, Cost=2693476.50, Length=500
Episode 172: Reward=-273.15, Cost=2731490.93, Length=500
Episode 173: Reward=-269.03, Cost=2690327.63, Length=500
Episode 174: Reward=-271.57, Cost=2715655.46, Length=500
Episode 175: Reward=-267.54, Cost=2675392.01, Length=500
Episode 176: Reward=-286.24, Cost=2862404.10, Length=500
Episode 177: Reward=-264.71, Cost=2647102.23, Length=500
Episode 178: Reward=-267.81, Cost=2678138.79, Length=500
Episode 179: Reward=-269.94, Cost=2699408.48, Length=500
Episode 180: Reward=-268.21, Cost=2682089.23, Length=500
Episode 181: Reward=-269.89, Cost=2698888.26, Length=500
Episode 182: Reward=-270.08, Cost=2700787.04, Length=500
Episode 183: Reward=-270.67, Cost=2706652.89, Length=500
